"Year","Catch","CPUE","TAC"
1979,36429.6630927585,1.83052805089478,NA
1980,38468.3092254229,1.52352913696479,NA
1981,38941.6125171526,1.29157478201819,NA
1982,48497.4773201865,1.55262070834833,NA
1983,56214.428463302,1.6452127632393,NA
1984,51332.1550059544,1.19167929988646,NA
1985,59068.4602354779,1.28060508576915,NA
1986,61347.5308212432,1.18608288151059,NA
1987,69236.3851344652,1.56333819921472,NA
1988,80770.1811600065,1.36529287291341,NA
1989,77315.4379440664,1.19868353802087,NA
1990,79801.1724094819,1.09539889318365,NA
1991,82506.7383621556,0.985942671694558,NA
1992,77087.2814627443,1.20325093881718,NA
1993,108273.078466616,1.17508322572112,NA
1994,117087.899463208,1.22635844827532,NA
1995,126548.517490031,1.15672904065147,NA
1996,136444.642742427,1.17991899546201,NA
1997,157306.053165322,1.04561693293263,NA
1998,152804.750239882,0.962755223895671,NA
1999,162448.784087991,1.27437948724623,NA
2000,140375.074752361,1.05697955078382,NA
2001,130767.840254741,0.856182378812698,NA
2002,150535.193649991,0.862280520061791,NA
2003,140382.552634293,0.837074609056389,NA
2004,149610.194836541,0.865080367124579,NA
2005,137756.2768922,0.724032199920496,NA
2006,132781.562029153,0.73950168240822,NA
2007,138254.858563012,0.742890526547758,NA
2008,122519.936257849,0.693950050796711,NA
2009,118801.052543191,0.624966196191134,NA
2010,85368.1634312517,NA,NA
2011,94373.8128965668,1.11592469828713,NA
2012,124759.496885578,0.875829702862224,NA
2013,113193.027915808,0.720918754785964,NA
2014,93055.7407765021,0.556949397380591,NA
2015,96395.6733068756,0.567835270698322,NA
2016,86848.9200453468,0.56782487899286,NA
2017,90905.263484618,0.501272803394465,NA
2018,80883.8388346789,0.454371222962855,86633.9807243124
2019,80377.8962918984,0.561730016225174,86633.9807243124
2020,90471.1021654026,0.658558675189879,86633.9807243124
2021,94803.0856052697,0.481265320856512,86633.9807243124
